City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
138,Arraial Do Cabo,-22.9661,-42.0278,75.16,68,20,19.57,BR,few clouds
139,Narsaq,60.9167,-46.05,53.82,63,10,12.08,GL,clear sky
140,Huangzhai,38.0751,112.6595,64.81,83,0,1.45,CN,clear sky
141,Mahebourg,-20.4081,57.7,69.26,100,75,3.44,MU,moderate rain
142,Chuy,-33.6971,-53.4616,69.89,70,100,1.83,UY,overcast clouds
143,Pidhaytsi,49.2685,25.1334,72.46,63,83,8.34,UA,broken clouds
144,Mayumba,-3.432,10.6554,71.6,86,9,3.76,GA,clear sky
145,Bubaque,11.2833,-15.8333,80.47,74,100,12.08,GW,overcast clouds
146,Georgetown,5.4112,100.3354,81.9,87,40,3.44,MY,scattered clouds
147,Mareeba,-17.0,145.4333,65.12,93,23,2.46,AU,few clouds
148,Vangaindrano,-23.35,47.6,65.17,91,13,5.82,MG,few clouds
149,Mairana,-18.1167,-63.9333,72.73,36,6,9.53,BO,clear sky
150,Shimoda,34.6667,138.95,80.19,90,74,14.07,JP,broken clouds
151,Norman Wells,65.282,-126.8329,50.04,71,90,10.36,CA,overcast clouds
152,Oyotun,-6.8519,-79.3036,71.19,48,3,7.87,PE,clear sky
153,Reconquista,-29.15,-59.65,91.36,23,15,11.65,AR,few clouds
154,Tocopilla,-22.092,-70.1979,64.11,64,61,16.87,CL,broken clouds
155,Hukuntsi,-24.0,21.75,63.79,17,0,10.56,BW,clear sky
156,Butaritari,3.0707,172.7902,82.76,64,23,10.13,KI,few clouds
157,Las Juntas,19.4167,-104.7,86.72,59,56,6.38,MX,broken clouds
158,Wadsworth,41.0256,-81.7299,87.71,78,73,1.99,US,broken clouds
159,Rocha,-34.4833,-54.3333,57.74,93,100,12.19,UY,overcast clouds
160,Santa Isabel Do Rio Negro,-0.4139,-65.0192,76.23,89,100,0.13,BR,light rain
161,Provideniya,64.3833,-173.3,45.39,81,100,15.93,RU,overcast clouds
162,Carnarvon,-24.8667,113.6333,62.67,81,1,4.61,AU,clear sky
163,Portree,57.4129,-6.1942,61.86,88,20,4.29,GB,few clouds
164,Faya,18.3851,42.4509,73.51,62,34,3.11,SA,scattered clouds
165,Hambantota,6.1241,81.1185,79.14,94,0,6.91,LK,clear sky
166,Liuzhou,24.3126,109.3892,80.82,91,100,2.68,CN,overcast clouds
167,Ermoupolis,37.4423,24.9425,83.89,54,0,6.91,GR,clear sky
168,Saint-Georges,12.0564,-61.7485,80.28,89,75,9.22,GD,broken clouds
169,Fayaoue,-20.65,166.5333,70.09,64,80,22.59,NC,broken clouds
170,Dondo,-19.6094,34.7431,65.71,87,0,5.66,MZ,clear sky
171,Batagay-Alyta,67.8006,130.4114,56.28,45,19,0.65,RU,few clouds
172,Imbituba,-28.24,-48.6703,73.29,70,0,14.27,BR,clear sky
173,Bandarbeyla,9.4942,50.8122,76.23,85,99,31.94,SO,overcast clouds
174,Praia,14.9215,-23.5087,82.94,74,40,11.5,CV,scattered clouds
175,Laguna,38.421,-121.4238,95.25,46,1,5.01,US,clear sky
176,Bambous Virieux,-20.3428,57.7575,69.22,100,75,3.44,MU,light rain
177,Port Blair,11.6667,92.75,82.18,83,100,11.16,IN,overcast clouds
178,Saint George,37.1041,-113.5841,100.87,17,0,3.0,US,clear sky
179,Kismayo,-0.3582,42.5454,75.99,83,15,21.03,SO,few clouds
180,Hoi An,15.8794,108.335,84.16,82,100,4.94,VN,overcast clouds
181,Kupang,-10.1667,123.5833,74.14,75,5,8.9,ID,clear sky
182,Grindavik,63.8424,-22.4338,64.35,72,0,18.41,IS,clear sky
183,Canico,32.6333,-16.85,75.0,77,40,11.5,PT,scattered clouds
184,Saint Stephen,50.3333,-4.9,61.39,77,40,10.36,GB,moderate rain
185,Tateyama,34.9833,139.8667,84.22,87,100,25.72,JP,overcast clouds
186,Inhambane,-23.865,35.3833,62.58,82,0,7.7,MZ,clear sky
187,Shirokiy,49.758,129.523,54.39,81,100,9.75,RU,overcast clouds
188,Lata,40.1629,-8.3327,77.04,59,0,6.67,PT,clear sky
189,Brigantine,39.4101,-74.3646,76.48,87,90,13.8,US,overcast clouds
190,Zharkent,44.1628,80.0,73.35,25,6,5.99,KZ,clear sky
191,Hokitika,-42.7167,170.9667,34.52,79,2,7.29,NZ,clear sky
192,Mokhsogollokh,61.4681,128.9203,52.09,70,73,3.58,RU,broken clouds
193,Aklavik,68.2191,-135.0107,52.52,71,40,0.0,CA,scattered clouds
194,Dingle,10.9995,122.6711,76.37,90,100,3.49,PH,light rain
195,Hirara,24.8,125.2833,82.13,82,99,9.69,JP,overcast clouds
196,Maneadero,31.7167,-116.5667,82.18,73,12,3.0,MX,few clouds
